Epoch,Train_CE,Valid_CE,Train_CQ_score,Valid_CQ_score
1,2916.90673828125,2827.365478515625,50.59663391113281,
2,2838.770751953125,2818.918701171875,51.595027923583984,
3,2829.25634765625,2812.597412109375,52.13282012939453,
4,2824.554931640625,2810.707763671875,52.366695404052734,
5,2824.156494140625,2810.00830078125,52.4677848815918,
6,2823.471923828125,2813.009521484375,52.41175842285156,
7,2823.308349609375,2810.04638671875,52.59206771850586,
8,2823.75927734375,2809.6669921875,52.507205963134766,
9,2822.715576171875,2810.2568359375,52.49526596069336,
10,2822.7998046875,2810.117431640625,52.55435562133789,
11,2822.390625,2809.369140625,52.50740432739258,
12,2822.34423828125,2809.501220703125,52.558143615722656,
13,2822.076904296875,2809.24169921875,52.60443115234375,
14,2822.45849609375,2810.010498046875,52.55026626586914,
15,2822.177978515625,2810.3857421875,52.53377151489258,
16,2822.531494140625,2809.34912109375,52.513206481933594,
17,2822.51171875,2809.392333984375,52.5958251953125,
18,2822.27490234375,2809.295166015625,52.51227569580078,
19,2822.273681640625,2809.606201171875,52.49934005737305,
20,2822.25830078125,2810.10205078125,52.56181335449219,
21,2822.0615234375,2808.93896484375,52.623966217041016,
22,2821.959716796875,2811.035888671875,52.55111312866211,
23,2822.16455078125,2809.351318359375,52.60892105102539,
24,2821.649658203125,2809.361572265625,52.62202835083008,
25,2821.942138671875,2809.403076171875,52.61996078491211,
26,2821.71533203125,2809.321533203125,52.604766845703125,
27,2821.651123046875,2809.712890625,52.6004753112793,
28,2821.679931640625,2809.521728515625,52.6313362121582,
29,2821.95361328125,2809.365966796875,52.627437591552734,
30,2821.53955078125,2809.69873046875,52.59058380126953,
31,2822.04638671875,2810.832275390625,52.55080795288086,
32,2822.58251953125,2809.24658203125,52.57319641113281,
33,2821.738525390625,2809.0439453125,52.63569259643555,
34,2821.966064453125,2809.194580078125,52.65219497680664,
35,2821.6396484375,2808.909912109375,52.65394973754883,
36,2821.84326171875,2811.090576171875,52.62705993652344,
37,2821.5380859375,2809.328857421875,52.67353057861328,
38,2822.0537109375,2809.136474609375,52.67804718017578,
39,2821.529541015625,2809.357421875,52.68855285644531,
40,2821.298828125,2809.932861328125,52.657875061035156,
41,2821.330078125,2809.233642578125,52.70781707763672,
42,2821.22314453125,2809.357666015625,52.6860237121582,
43,2821.267578125,2809.504638671875,52.69353103637695,
44,2821.44775390625,2809.604248046875,52.68293762207031,
45,2821.3134765625,2809.6650390625,52.6941032409668,
46,2822.572021484375,2810.490966796875,52.69447326660156,
47,2822.22119140625,2810.106689453125,52.70159912109375,
48,2822.214111328125,2809.0654296875,52.65083312988281,
49,2822.073974609375,2809.9697265625,52.69855499267578,
50,2821.46044921875,2809.96337890625,52.68611526489258,
51,2821.71337890625,2809.4599609375,52.667335510253906,
52,2821.6201171875,2809.474609375,52.67611312866211,
53,2821.15380859375,2809.543701171875,52.70872497558594,
54,2821.4775390625,2809.350830078125,52.694976806640625,
55,2821.280517578125,2809.575439453125,52.6671142578125,
56,2821.376708984375,2809.540771484375,52.697349548339844,
57,2821.0029296875,2809.3603515625,52.7042236328125,
58,2821.197021484375,2809.783447265625,52.68353271484375,
59,2821.3798828125,2809.71533203125,52.68959426879883,
60,2821.289306640625,2809.40234375,52.68622970581055,
61,2821.33154296875,2809.43408203125,52.668758392333984,
62,2821.4990234375,2809.515869140625,52.69927215576172,
63,2821.41650390625,2809.508056640625,52.70462417602539,
64,2821.247802734375,2809.422119140625,52.72683334350586,
65,2821.03857421875,2810.281005859375,52.69609451293945,
66,2821.31689453125,2809.232177734375,52.727455139160156,
67,2821.6396484375,2809.497802734375,52.674888610839844,
68,2821.292236328125,2809.859619140625,52.72521209716797,
69,2821.270263671875,2809.36181640625,52.7000846862793,
70,2820.97216796875,2809.66162109375,52.70296859741211,
71,2821.04345703125,2809.6748046875,52.698612213134766,
72,2820.79833984375,2809.005126953125,52.72954559326172,
73,2821.070068359375,2809.404541015625,52.709808349609375,
74,2821.349609375,2809.481201171875,52.72238540649414,
75,2821.25537109375,2809.389892578125,52.70851516723633,
76,2821.470947265625,2809.24267578125,52.59661102294922,
