Epoch,Train_CQ,Valid_CQ
1,57.34006881713867,56.58955383300781
2,57.42921447753906,56.567138671875
3,57.452091217041016,56.5174446105957
4,57.47014617919922,56.331748962402344
5,57.50094223022461,56.545616149902344
6,57.52457809448242,56.449562072753906
7,57.51811218261719,56.61473083496094
8,57.530616760253906,56.489925384521484
9,57.527584075927734,56.55695724487305
10,57.547550201416016,56.554969787597656
11,57.57488250732422,56.497283935546875
12,57.56279373168945,56.4973258972168
13,57.58643341064453,56.4625129699707
14,57.62385559082031,56.47493362426758
15,57.60361862182617,56.55112075805664
16,57.61392593383789,56.53093719482422
17,57.620155334472656,56.51218032836914
18,57.659420013427734,56.475425720214844
19,57.66185760498047,56.46154022216797
20,57.6463623046875,56.51469039916992
21,57.67101287841797,56.51262664794922
22,57.681217193603516,56.38499069213867
23,57.66200637817383,56.38670349121094
24,57.689605712890625,56.47007369995117
25,57.67181396484375,56.49674987792969
26,57.707252502441406,56.438663482666016
27,57.71515655517578,56.4536018371582
28,57.7255744934082,56.40835189819336
